,actual_home_win,pred_home_win,pred_home_win_proba
31336,0,0,0.29522645262485864
32099,0,1,0.6435192519703947
27089,1,1,0.725840047780481
30637,1,0,0.49620338606219205
32067,0,0,0.38184457360149077
30646,0,0,0.4860170537427354
30726,0,1,0.6636431093992644
29742,0,0,0.423257934588772
34796,0,1,0.541406720403294
31829,1,0,0.4417382501555497
30621,1,1,0.8134303817163111
30719,0,1,0.5378656360412216
33185,1,1,0.5643144490320599
28468,1,1,0.6737846821496666
31966,1,0,0.49322336811537454
32325,1,1,0.6666524714527985
31076,0,1,0.775158435261483
35100,1,1,0.615477417837508
29931,0,1,0.6591357052537409
29763,1,1,0.5043681240779727
34851,0,1,0.651486490319105
30340,0,1,0.6765718242658951
33227,0,1,0.5388090400170826
34144,1,1,0.6540278867045548
33211,0,1,0.6438190829738774
28769,0,0,0.3301530719010513
28834,0,1,0.6448355549829065
32551,0,0,0.39381212139455996
29965,1,1,0.7611145387895607
28689,1,1,0.5274961118418626
34479,0,0,0.25182160593844766
35344,0,1,0.6630544199121932
31956,0,1,0.6254447581819267
34392,0,0,0.4392742555351495
31452,1,1,0.5934910301998034
30533,0,1,0.5521737203406468
34313,0,1,0.501640910694131
28692,1,0,0.47070559775286436
33863,0,0,0.3660841614372432
34012,1,1,0.5668098482160293
32859,1,1,0.5700030254086049
33688,0,1,0.6876216852027901
30748,0,1,0.5535125541250223
28933,0,0,0.49762331177660435
32380,0,1,0.5833772424611368
30398,1,1,0.6712872453041695
31404,0,0,0.46539396961229346
35073,0,1,0.6466922927557239
30415,0,1,0.5876561077957406
29384,0,1,0.5097560623527055
34163,1,0,0.4898047872999866
32712,1,0,0.4032858095181686
31372,0,1,0.5247868642703081
33846,1,1,0.5530507953688075
32251,0,1,0.6543678789491871
27776,0,0,0.3533603237919476
32500,0,0,0.49102245397714556
28292,1,1,0.5722766765382138
35010,0,1,0.5282360657120883
29664,1,1,0.6105402796644043
35164,0,0,0.47968376698853815
31522,1,0,0.4664865505078536
27974,1,0,0.4423140426804209
30674,0,1,0.6459606844657698
28473,0,1,0.6003594764447476
28208,0,1,0.6522631752369962
28715,1,1,0.534405214048699
27198,1,1,0.6422175951652033
28122,0,0,0.38396168691717975
29473,0,0,0.48711352819223597
30386,1,1,0.7141522341503925
28348,1,0,0.49887403392010443
29948,0,0,0.43379801372646526
28623,0,0,0.4401751591812012
31980,0,0,0.49832913826382613
31809,1,1,0.5787138821772457
29712,1,0,0.45169904650629333
34067,1,0,0.4350065561823866
28579,0,1,0.5467369919351008
30687,0,1,0.554470323408312
30683,1,1,0.5497130227985182
33186,0,1,0.6022369692073254
30326,0,1,0.5949156158380465
28075,0,1,0.6328951510737943
31418,1,1,0.731990782861116
27802,0,1,0.5788145422248298
34337,1,1,0.7386252921571037
32821,0,0,0.437131887699439
31365,1,0,0.26706339354069114
31487,1,1,0.7019497509543804
34555,0,0,0.4789790841145025
33921,1,1,0.7840291739215323
29502,0,1,0.5777233502231636
29160,0,1,0.5498967926946567
32892,1,1,0.5385870128012112
27223,0,1,0.6114107864553744
28722,0,1,0.7029713240238473
34495,0,1,0.573443757216365
32454,0,0,0.43418042656380007
31158,1,1,0.5974486877404863
29606,1,1,0.6078779096780987
