model,target,mae,rmse,r2,within_2,within_5
Ridge,pts,3.9761263088387917,5.250835166439185,0.6418102203633183,0.34135,0.70355
Ridge,reb,1.755262304639455,2.3051159573857314,0.5544197261294731,0.660875,0.9621
Ridge,ast,1.318564992602285,1.7864906176104556,0.5490762811734516,0.788725,0.983025
