model_name,target,mae,rmse,r2,within_5,within_10,within_15
Ridge,home_pts,9.540595862798071,11.990242902765102,0.09321405673640082,0.32933370976849236,0.5968379446640316,0.7900903444381705
Gradient Boosting,home_pts,9.684936292301604,12.156117448088802,0.06795132911261736,0.32396950875211744,0.5907679277244494,0.7828910220214568
Ridge,away_pts,9.640355363395264,12.13162837130992,0.07582475527022725,0.32171089779785433,0.5961321287408244,0.78613777526821
Gradient Boosting,away_pts,9.987932129329282,12.551019680422272,0.010822666535335923,0.30745341614906835,0.5758046301524562,0.7713156408808582
Ridge,point_spread,11.420511349932399,14.446167737503778,0.08170799835965359,0.26665725578769056,0.5261151891586674,0.7161208356860531
Gradient Boosting,point_spread,11.484528952635955,14.525787005879806,0.07155787137051428,0.2621400338791643,0.5221626199887069,0.7158385093167702
Ridge,total_points,15.289847770203544,19.318201296023048,0.08605400822783094,0.2096273291925466,0.39695087521174477,0.5680406549971767
Gradient Boosting,total_points,15.939516809053604,20.13025234058842,0.0076026492001622925,0.19706380575945792,0.38523433088650477,0.5468661773009599
