model_name,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.6002258610954263,0.6738919443545778,0.5331456360378807,0.5953129465561589,0.6584082434705744
Random Forest,0.620412196499153,0.653169014084507,0.6647043767596621,0.658886210833439,0.6564858325923488
Gradient Boosting,0.6187182382834556,0.6189818468823993,0.8029178397747633,0.6990529247910864,0.6577899171152655
